Date,Station,Demand,Temperature,PrecipIntensity,Humidity,CloudCover,Pressure,WindSpeed
17/07/2019 00:00,MMMX,1002.746811,17.45,0.9,64,0.71,1019.22,7.59
17/07/2019 01:00,MMMX,910.1852691,16.85,0.44,65,0.71,1011.34,5.56
17/07/2019 02:00,MMMX,869.4608629,16.43,0.31,66,0.71,1019.65,4.97
17/07/2019 03:00,MMMX,849.5123424,15.01,0.22,71,0.71,1019.16,9.1
17/07/2019 04:00,MMMX,856.0417884,15.2,0.16,71,0.93,1009.3,7.98
17/07/2019 05:00,MMMX,930.0291305,14.84,0.1,72,0.71,1018.97,5.57
17/07/2019 06:00,MMMX,1061.947256,14.16,0.05,75,0.71,1019.47,4.85
17/07/2019 07:00,MMMX,1165.738854,13.98,0.02,75,0.47,1012.73,4.57
17/07/2019 08:00,MMMX,1263.74828,13.84,0.01,75,0.75,1020.62,5.25
17/07/2019 09:00,MMMX,1331.818646,13.68,0.02,77,0.75,1020.68,3.63
17/07/2019 10:00,MMMX,1368.695326,13.65,0.03,76,0.75,1013.95,6.53
17/07/2019 11:00,MMMX,1401.732321,14.4,0.06,73,0.75,1019.33,6.89
17/07/2019 12:00,MMMX,1445.416589,20.15,0.17,49,0.75,1018.57,12.8
17/07/2019 13:00,MMMX,1458.420058,17.49,0.28,60,1,1012.37,6.98
17/07/2019 14:00,MMMX,1475.679848,18.82,0.56,55,1,1016.91,9.92
17/07/2019 15:00,MMMX,1484.550181,20.03,0.94,49,1,1015.88,11.56
17/07/2019 16:00,MMMX,1472.380578,20.79,1.39,46,1,1011.85,13.81
17/07/2019 17:00,MMMX,1449.334343,20.78,1.62,47,1,1014.81,11.26
17/07/2019 18:00,MMMX,1405.077729,20.49,1.84,48,1,1015.36,12.01
17/07/2019 19:00,MMMX,1375.317589,20.55,1.6,49,1,1015.69,13.55
17/07/2019 20:00,MMMX,1409.780585,20.31,1.47,48,1,1016.62,9.92
17/07/2019 21:00,MMMX,1386.610599,20.46,1.67,48,0.78,1017.88,9.9
17/07/2019 22:00,MMMX,1283.307212,20.02,1.61,49,0.93,1011.74,7.02
17/07/2019 23:00,MMMX,1165.841571,19.35,0.96,54,0.44,1019.34,5.5
18/07/2019 00:00,MMMX,995.7854401,18.59,0.3,59,0.22,1020.16,4.71
18/07/2019 01:00,MMMX,907.4915687,17.78,0.06,62,0.17,1012.55,7.35
18/07/2019 02:00,MMMX,865.6215843,15.74,0.06,72,0.39,1020.39,6.78
18/07/2019 03:00,MMMX,849.2223886,16.33,0.07,67,0.39,1019.98,2.98
18/07/2019 04:00,MMMX,853.4674433,15.32,0.08,69,0,1015.05,4.93
18/07/2019 05:00,MMMX,927.6747647,14.91,0.05,70,0.75,1011.29,5.13
18/07/2019 06:00,MMMX,1059.979103,14.52,0.03,72,0.75,1019.96,4.7
18/07/2019 07:00,MMMX,1167.746954,14.48,0,72,0.75,1020.25,3.54
18/07/2019 08:00,MMMX,1270.738366,14.23,0.01,74,0.75,1020.46,3.81
18/07/2019 09:00,MMMX,1364.063021,14.14,0.02,76,0.25,1020.55,3.82
18/07/2019 10:00,MMMX,1427.536499,15.87,0.05,71,0.71,1012.8,0.14
18/07/2019 11:00,MMMX,1465.388277,14.76,0.08,73,0.71,1018.55,4.43
18/07/2019 12:00,MMMX,1489.043567,16.19,0.19,68,0.44,1017.76,6.35
18/07/2019 13:00,MMMX,1494.192148,17.99,0.45,60,0.47,1010.67,7.84
18/07/2019 14:00,MMMX,1497.432343,19.46,0.48,53,0.47,1015.9,12.35
18/07/2019 15:00,MMMX,1505.559505,23.3,0.48,37,0.75,1014.68,18.93
18/07/2019 16:00,MMMX,1496.25498,22.2,0.57,42,0.75,1007.79,14.28
18/07/2019 17:00,MMMX,1466.980794,23.05,0.8,38,0.75,1013.14,11.09
18/07/2019 18:00,MMMX,1428.485463,23.02,1.37,39,1,1013.68,11.35
18/07/2019 19:00,MMMX,1413.84184,21.9,1.96,44,0.97,1010.6,9.56
18/07/2019 20:00,MMMX,1427.959781,21.86,2.34,45,0.97,1015.41,7.91
18/07/2019 21:00,MMMX,1389.942661,20.45,2.86,53,0.97,1017.02,9.31
18/07/2019 22:00,MMMX,1290.383546,17.59,3.37,66,1,1014.47,14.12
18/07/2019 23:00,MMMX,1187.803209,14.3,3.39,90,1,1018.92,15.44
19/07/2019 00:00,MMMX,1024.275406,15.08,3.17,81,1,1019.71,7.74
19/07/2019 01:00,MMMX,924.3479481,14.72,1.06,84,1,1013.04,10.41
19/07/2019 02:00,MMMX,876.0160278,14.43,1,84,1,1019.52,6.31
19/07/2019 03:00,MMMX,850.8953779,14.31,1.23,85,0.78,1019.11,6.28
19/07/2019 04:00,MMMX,850.5345903,14.13,1.38,84,0.78,1011.51,9.15
19/07/2019 05:00,MMMX,924.9547783,14.08,0.92,85,1,1017.99,5.83
19/07/2019 06:00,MMMX,1055.090145,14.05,0.43,85,0.78,1018.16,4.67
19/07/2019 07:00,MMMX,1149.815567,14.14,0.19,84,0.75,1011.88,4.03
19/07/2019 08:00,MMMX,1257.703434,14.74,0.11,81,0.75,1018.75,4.61
19/07/2019 09:00,MMMX,1350.828121,14.13,0.06,82,0.44,1019.07,3.53
19/07/2019 10:00,MMMX,1419.713836,14.07,0.04,82,0.71,1013.67,2.79
19/07/2019 11:00,MMMX,1456.580437,15.02,0.08,76,0.71,1017.37,3.62
19/07/2019 12:00,MMMX,1493.168359,16.26,0.24,71,0.44,1016.63,5.63
19/07/2019 13:00,MMMX,1503.159551,17.95,0.72,62,0.47,1012.04,5.35
19/07/2019 14:00,MMMX,1472.239525,19.44,0.8,55,0.5,1015.01,11.25
19/07/2019 15:00,MMMX,1477.724075,22.1,0.92,45,0.47,1014.29,18.42
19/07/2019 16:00,MMMX,1460.441079,21.83,1.21,46,0.75,1007.87,9.56
19/07/2019 17:00,MMMX,1437.505271,22.5,1.78,43,0.78,1013.06,10.9
19/07/2019 18:00,MMMX,1420.600197,22.65,2.64,43,1,1013.29,10.15
19/07/2019 19:00,MMMX,1407.46788,21.8,1.85,45,1,1010.95,13.24
19/07/2019 20:00,MMMX,1411.598022,16.98,2.05,67,1,1014.81,9.15
19/07/2019 21:00,MMMX,1350.091367,18.87,1.78,59,1,1016.08,9.17
19/07/2019 22:00,MMMX,1251.860479,17.15,1.61,68,0.97,1012.35,10.79
19/07/2019 23:00,MMMX,1137.800163,16.53,1.14,71,0.75,1017.49,8.26
20/07/2019 00:00,MMMX,1006.038248,16.14,0.67,74,0.75,1017.96,7.07
