Date,Station,Demand,Temperature,PrecipIntensity,Humidity,CloudCover,Pressure,Sol,WindSpeed
29/01/2016 00:00,Zocalo,1004.933065,8.6,0,47.7,0,1021,0,1.2
29/01/2016 01:00,Zocalo,908.1101196,8,0,51.5,0,1021,0,1.2
29/01/2016 02:00,Zocalo,865.1328115,7.4,0,55.7,0,1021,0,1.1
29/01/2016 03:00,Zocalo,849.1416372,6.8,0,60.3,0,1021,0,1
29/01/2016 04:00,Zocalo,858.7299479,6.3,0,64,0,1021,0,1
29/01/2016 05:00,Zocalo,943.693928,5.8,0,68,0,1021,0,0.9
29/01/2016 06:00,Zocalo,1095.00334,5.3,0,72.2,0,1022,0,0.9
29/01/2016 07:00,Zocalo,1216.170807,6,0,69.1,0,1022,0,0.7
29/01/2016 08:00,Zocalo,1319.404311,6.8,0,66.1,0,1023,58.9,0.6
29/01/2016 09:00,Zocalo,1423.970675,7.5,0,63.3,0,1023,198.4,0.5
29/01/2016 10:00,Zocalo,1490.259229,9.9,0,51.6,0,1022,349.4,0.7
29/01/2016 11:00,Zocalo,1528.123492,12.3,0,42.2,0,1021,475.8,0.8
29/01/2016 12:00,Zocalo,1535.993453,14.8,0,34.6,0,1020,554.6,1
29/01/2016 13:00,Zocalo,1526.95862,16.3,0,29.8,0,1018,584.9,1.3
29/01/2016 14:00,Zocalo,1512.300887,17.8,0,25.8,0,1016,547.4,1.7
29/01/2016 15:00,Zocalo,1502.275909,19.3,0,22.3,0,1014,447.8,2
29/01/2016 16:00,Zocalo,1498.227934,18.2,0,25,0,1014,311.8,1.8
29/01/2016 17:00,Zocalo,1487.860565,17,0,28.1,0,1015,157.8,1.6
29/01/2016 18:00,Zocalo,1534.672054,15.8,0,31.5,0,1015,28.4,1.4
29/01/2016 19:00,Zocalo,1572.954785,14.8,0,34.2,0,1016,0,1.1
29/01/2016 20:00,Zocalo,1528.317786,13.8,0,37,0,1016,0,0.9
29/01/2016 21:00,Zocalo,1437.254106,12.7,0,40.2,0,1017,0,0.7
29/01/2016 22:00,Zocalo,1316.246549,11.5,0,43.7,0,1017,0,0.7
29/01/2016 23:00,Zocalo,1175.069668,10.3,0,47.6,0,1018,0,0.6
30/01/2016 00:00,Zocalo,1022.82971,9.1,0,51.8,0,1018,0,0.6
30/01/2016 01:00,Zocalo,917.9577271,9,0,51.4,0,1018,0,0.6
30/01/2016 02:00,Zocalo,867.7760651,8.9,0,50.9,0,1018,0,0.6
30/01/2016 03:00,Zocalo,846.7641602,8.8,0,50.5,0,1018,0,0.6
